DIC_umol_kg,DIC_stdev_umol_kg,DIC_n,DIC_%stdev,Flag_2good_3questionable_4bad,Sample_ID,CDR_Sample_ID,Date,Plot,Treatment,Depth_cm,H2S_umol/L,O2_umol/L,pH,Salinity_psu,TA_umol_kg,TA_stdev_umol_kg,TA_n,TA_%stdev,TA_Flag_2good_3questionable_4bad
3098.5,638.7,5,20.6,3,22-11,CDR-22-11,5/25/2022,7,5 cm sand,5,409.55,-6.46,6.25,14.12,2287.14,0.47,2,0.02,2
4960.4,574.4,5,11.6,3,22-16,CDR-22-16,5/25/2022,9,5 cm olivine,15,1298.06,1.45,6.23,18.84,4909.48,3.84,3,0.08,2
5770.5,1165,2,20.2,3,22-47,CDR-22-47,5/27/2022,6,biochar,5,-19.01,21.35,7.06,16.35,2771.51,1.66,2,0.06,2
15994.9,5.1,2,0.03,2,22-155,CDR-22-155,8/29/2022,12,5 cm olivine,5,1517.9,NA,6.5,15.34,14720.83,31.55,2,0.21,2
2682.3,1.3,2,0.05,2,22-156,CDR-22-156,8/29/2022,12,5 cm olivine,15,1999.1,NA,6.28,20.72,10898.37,NA,1,NA,3
6157.8,2.4,3,0.04,2,22-157,CDR-22-157,8/29/2022,10,biochar,5,835.4,NA,6.1,13.06,5045.59,16.19,2,0.32,2
13363.9,5.7,2,0.04,2,22-158,CDR-22-158,8/29/2022,10,biochar,15,2657.3,NA,6.28,25.33,16321.69,24.12,2,0.15,2
24930.9,15.4,2,0.06,2,22-159,CDR-22-159,8/29/2022,9,5 cm olivine,5,2614.9,NA,6.66,23.54,25010.23,107.5,2,0.43,2
8304.6,4.9,2,0.06,2,22-161,CDR-22-161,8/29/2022,4,5 cm sand,5,1476.1,NA,6.13,24.12,6962.46,20.5,2,0.29,2
13464.1,9.8,2,0.07,2,22-163,CDR-22-163,8/29/2022,3,5 cm olivine,5,2447.5,NA,6.48,10.78,14815.19,11.5,2,0.08,2
7104.2,6.3,2,0.09,2,22-165,CDR-22-165,8/30/2022,11,1 cm olivine,5,664.7,NA,8.11,22.56,6617.26,3.61,2,0.05,2
8887.2,1.3,2,0.01,2,22-167,CDR-22-167,8/30/2022,13,control,5,1443.2,NA,7.99,23.72,7459.7,4.74,2,0.06,2
12846.1,7.4,2,0.06,2,22-168,CDR-22-168,8/30/2022,13,control,15,2733.4,NA,7.85,12.63,11663.17,21.23,2,0.18,2
2550.4,0.7,2,0.03,2,22-169,CDR-22-169,8/30/2022,1,1 cm olivine,5,469.6,NA,7.83,23.48,2193.15,0.96,2,0.04,2
21203.1,2,2,0.01,2,22-171,CDR-22-171,8/29/2022,8,5 cm sand,5,2810,NA,6.4,10.4,20715.69,36.87,2,0.18,2
4974,2.4,2,0.05,2,22-173,CDR-22-173,8/29/2022,14,biochar,5,633,NA,6.15,23.46,4130.37,3.71,2,0.09,2
18865,2.9,2,0.02,2,22-175,CDR-22-175,8/29/2022,7,5 cm sand,5,2810,NA,6.43,9.42,18853.43,47.07,2,0.25,2
2037.4,1.6,2,0.08,2,22-177,CDR-22-177,8/29/2022,6,biochar,5,277.3,NA,6.25,23.03,1682.01,2.96,2,0.18,2
14369.3,5.4,2,0.04,2,22-178,CDR-22-178,8/29/2022,6,biochar,15,2644.9,NA,6.36,17.1,13745.99,34.97,2,0.25,2
5663.1,4.5,2,0.08,2,22-179,CDR-22-179,8/30/2022,15,control,5,542.7,NA,8.2,22.63,4632.1,28.38,2,0.61,2
9738.7,6.2,2,0.06,2,22-180,CDR-22-180,8/30/2022,15,control,15,1713.1,NA,8.01,24.55,8055.4,9.91,2,0.12,2
11262.5,220.2,3,1.96,3,22-181,CDR-22-181,8/30/2022,5,1 cm olivine,5,123.8,NA,7.77,22.72,10651.83,55.61,2,0.52,2
17559.2,7.4,2,0.04,2,22-183,CDR-22-183,8/30/2022,2,control,5,2294.7,NA,8,18.2,17048.07,39.54,2,0.23,2
4559.8,1.8,2,0.04,2,22-185,CDR-22-185,8/29/2022,12,5 cm olivine,3,NA,NA,6.98,22.95,4077.58,2.94,2,0.07,2
9805.8,2.6,2,0.03,2,22-186,CDR-22-186,8/29/2022,8,5 cm sand,3,NA,NA,6.67,22.32,9911.77,70.1,2,0.71,2
13786.1,2.7,2,0.02,3,22-187,CDR-22-187,8/29/2022,9,5 cm olivine,3,NA,NA,6.89,23.96,12150.06,64.1,2,0.53,2
3692,7,2,0.19,2,22-188,CDR-22-188,8/29/2022,7,5 cm sand,3,NA,NA,6.68,22.63,4590.24,0.58,2,0.01,2
8420.5,2.9,2,0.03,2,22-189,CDR-22-189,8/29/2022,3,5 cm olivine,3,NA,NA,7.31,21.29,9084.64,0.33,2,0,2
2568,1.1,4,0.04,2,22-190,CDR-22-190,8/29/2022,4,5 cm sand,3,NA,NA,6.32,26,1826.1,1.16,2,0.06,2
